title,author,date,publication_type,rejection_reason
"A SAVAGE DOPEBOY, CHOPPAS AND LOST SOULS",Ghost,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"A STOLEN LIFE, A MEMOIR",Jaycc Dugard,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
"A STORM OF SWORDS, PART 2, BLOOD AND GOLD (2011)",George R.R. Martin,,,"Title 15, Section 3006(c)(1) – violence or physical harm"
"A STORM OF SWORDS, STEEL AND SNOW (2011)",George R.R. Martin,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A THIN DARK LINE (2003),Tami Hoag,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A THUG’S DEVOTION,J.L. Rose,,,"Title 15, Section 3006(c)(15)(C)(5) – conduct which is or appears to be forceful, threatening or violent"
"A TIGHT SQUEEZE, SMUTTY TRANS AND QUEER STORIES, QUEERING CONSENT (2023)",Laura Q,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A TIME TO KILL (1989),John Grisham,,,"Title 15, Section 3006(c)(15)(B)(3) – conduct which is or appears to be forceful, threatening or violent"
"A TOUCH OF DARKNESS, HADES X PERSEPHONE, SAGA 1 (2021)",Scarlett St. Clair,,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A VISION FROM THE INSIDE,Mouse Lopez,,,"Title 15, Section 3006(c)(17) – frontal nudity"
A WALK AMONG THE TOMBSTONES (2012),Lawrence Block,,,"Title 15, Section 3006(c)(15)(B)(3) – conduct which is or appears to be forceful, threatening or violent"
A WAYWARD ANGEL: THE FULL STORY OF THE HELLS ANGELS,George Wethern and VInc.ent Colnett,,,"Title 15, Section 3006(c)(19) – STG members or associates"
A YEAR OF CORCORAN SUN,N/A,,,"Title 15, Section 3006(c)(17) – frontal nudity"
A.O.B (2023),"Mike Enemigo, Dutch, and Manny Fresh",,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A.O.B 2 (2023),"Mike Enemigo, Dutch and Manny Fresh",,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
A.O.B 3 (2023),"Mike Enemigo, Dutch, and Manny Fresh",,,"Title 15, Section 3006(c)(15)(A) – lacks serious literary, artistic, political or scientific value"
AAA ROAD ATLAS: TRAVEL WITH SOMEONE YOU TRUST,American Automobile Association,,,"Title 15, Section 3006(d) – presents a serious threat to facility security or the safety of incarcerated persons and staff"
